"Content ID","Category","Value"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","20"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","","35"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","72"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking",""
"3f8590c7-6ab2-4973-805a-90cdec355f05","",""
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","60"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","45"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","-12"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","0"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","60"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","-5"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","50"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","35"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","20"
"3f8590c7-6ab2-4973-805a-90cdec355f05","","60"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","0"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","70"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","30"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","-5"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","45"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","-10"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","-12"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","70"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","-15"
"3f8590c7-6ab2-4973-805a-90cdec355f05","","70"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","75"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","-10"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","-15"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","20"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","30"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","-15"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","-15"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","30"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","30"
"3f8590c7-6ab2-4973-805a-90cdec355f05","","30"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","-12"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","-15"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","60"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","60"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","30"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","60"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","70"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","0"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","70"
"3f8590c7-6ab2-4973-805a-90cdec355f05","","-5"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","50"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","65"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs","72"
"3f8590c7-6ab2-4973-805a-90cdec355f05","dogs",""
"e5490118-90d5-4572-ab1c-1fbc87b8d9ca","",""
"e5490118-90d5-4572-ab1c-1fbc87b8d9ca","technology","75"
"e5490118-90d5-4572-ab1c-1fbc87b8d9ca","technology","60"
"e5490118-90d5-4572-ab1c-1fbc87b8d9ca","technology","-12"
"e5490118-90d5-4572-ab1c-1fbc87b8d9ca","technology",""
"0bedca96-fb76-4287-a83c-17330ed39cce","",""
"0bedca96-fb76-4287-a83c-17330ed39cce","soccer","20"
"0bedca96-fb76-4287-a83c-17330ed39cce","soccer","-12"
"0bedca96-fb76-4287-a83c-17330ed39cce","soccer","45"
"0bedca96-fb76-4287-a83c-17330ed39cce","soccer","70"
"0bedca96-fb76-4287-a83c-17330ed39cce","soccer","-5"
"0bedca96-fb76-4287-a83c-17330ed39cce","soccer","65"
"0bedca96-fb76-4287-a83c-17330ed39cce","soccer","72"
"0bedca96-fb76-4287-a83c-17330ed39cce","soccer","70"
"0bedca96-fb76-4287-a83c-17330ed39cce","soccer","75"
"0bedca96-fb76-4287-a83c-17330ed39cce","","50"
"0bedca96-fb76-4287-a83c-17330ed39cce","soccer","65"
"0bedca96-fb76-4287-a83c-17330ed39cce","soccer",""
"b18cb63f-4c8e-44ee-a47f-541e95191d11","",""
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","20"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","-10"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","70"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","50"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","20"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","60"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","-15"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","72"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","35"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","","50"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","45"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","70"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","35"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","-12"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","45"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","75"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","70"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","60"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","60"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","","-15"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","-15"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","-5"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","0"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","0"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","72"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","-10"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","50"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","60"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","70"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","","45"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","72"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","-12"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","50"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","20"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","-15"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","72"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","-5"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","-15"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","65"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","","70"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking","-15"
"b18cb63f-4c8e-44ee-a47f-541e95191d11","public speaking",""
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","",""
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","60"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","45"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","75"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","-12"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","70"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","20"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","72"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","45"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","65"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","","-15"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","60"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","70"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","50"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","-5"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","65"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","0"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","72"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","-15"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","45"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","","45"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science","65"
"5118e9c5-1377-4cc5-a486-65b35b7b7b76","science",""
"46fb701d-6c26-458e-ada3-2ebe5dbba01f","",""
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","",""
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-12"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","20"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","75"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-12"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","20"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","75"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-12"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","45"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","0"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","","35"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-15"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-15"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-5"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","60"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","75"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-12"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","75"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-5"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","70"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","","60"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","70"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","45"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","35"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","30"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","60"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","35"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","45"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","35"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","60"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","","70"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","75"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","70"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-10"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","60"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-5"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-5"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","35"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","0"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","45"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","","70"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-10"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","0"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","70"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","35"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","-5"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis","0"
"0be59876-d70c-486c-8e0b-a06bef7a2cd6","tennis",""
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","",""
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","-12"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","-12"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","75"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","35"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","20"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","-12"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","20"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","75"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","35"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","","0"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","-15"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","-15"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","0"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","72"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","-10"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","0"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","65"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","60"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","65"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","","35"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","45"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","45"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","0"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","50"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","75"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","-10"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","60"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","60"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","-10"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","","45"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","72"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","20"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","75"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","0"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","35"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","75"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","60"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","-15"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","30"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","","-15"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","75"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","50"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","75"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","45"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","-15"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","35"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food","50"
"81abd65a-3b76-4574-a0a7-db6bf7184ae2","food",""
"e6ee2244-9382-49a9-8cbf-fa54aaaa2392","",""
"e6ee2244-9382-49a9-8cbf-fa54aaaa2392","travel",""
"7ffd0a82-4a0a-4527-a4d6-e251b756bac7","",""
"7ffd0a82-4a0a-4527-a4d6-e251b756bac7","fitness","50"
"7ffd0a82-4a0a-4527-a4d6-e251b756bac7","fitness","0"
"7ffd0a82-4a0a-4527-a4d6-e251b756bac7","fitness","30"
"7ffd0a82-4a0a-4527-a4d6-e251b756bac7","fitness","-12"
"7ffd0a82-4a0a-4527-a4d6-e251b756bac7","fitness","-12"
"7ffd0a82-4a0a-4527-a4d6-e251b756bac7","fitness","20"
"7ffd0a82-4a0a-4527-a4d6-e251b756bac7","fitness","70"
"7ffd0a82-4a0a-4527-a4d6-e251b756bac7","fitness",""
"f332d362-dc48-46c2-a64b-641157c0987e","",""
"f332d362-dc48-46c2-a64b-641157c0987e","soccer","30"
"f332d362-dc48-46c2-a64b-641157c0987e","soccer","70"
"f332d362-dc48-46c2-a64b-641157c0987e","soccer","20"
"f332d362-dc48-46c2-a64b-641157c0987e","soccer","20"
"f332d362-dc48-46c2-a64b-641157c0987e","soccer","0"
"f332d362-dc48-46c2-a64b-641157c0987e","soccer",""
"a2e93b29-9259-4092-a4d7-62d5e823bb74","",""
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","-12"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","30"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","-15"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","-5"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","70"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","-5"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","-12"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","65"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","50"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","","20"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","70"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","65"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","-10"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","60"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","70"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","-10"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","70"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","72"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","70"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","","72"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","70"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","70"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","72"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","-5"
"a2e93b29-9259-4092-a4d7-62d5e823bb74","public speaking","0"
